model,clean_auc,condition_weighted_robust_auc,family_balanced_robust_auc,condition_weighted_final_score,family_balanced_final_score,conditions_evaluated,families_evaluated,threshold
semantic_clean,0.9887549649999999,0.9177702889285714,0.9223694270138889,0.9532626269642857,0.9555621960069445,14,6,0.5
hybrid_clean,0.9917602700000001,0.9109408546428571,0.915119693125,0.9513505623214287,0.9534399815625001,14,6,0.5
hybrid_augmented,0.9884091449999999,0.9562109732142857,0.9575979451388887,0.9723100591071427,0.9730035450694443,14,6,0.5
